プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
96,2.98E+00,0.00E+00,,,,,,,,,,,,,
97,3.01E+00,0.00E+00,,,,,,,,,,,,,
97,3.01E+00,0.00E+00,,,,,,,,,,,,,
98,3.04E+00,0.00E+00,,,,,,,,,,,,,
98,3.04E+00,0.00E+00,,,,,,,,,,,,,
99,3.07E+00,0.00E+00,,,,,,,,,,,,,
99,3.07E+00,0.00E+00,,,,,,,,,,,,,
100,3.10E+00,0.00E+00,,,,,,,,,,,,,
100,3.10E+00,0.00E+00,,,,,,,,,,,,,
101,3.13E+00,0.00E+00,,,,,,,,,,,,,
101,3.13E+00,0.00E+00,,,,,,,,,,,,,
102,3.16E+00,0.00E+00,,,,,,,,,,,,,
102,3.16E+00,0.00E+00,,,,,,,,,,,,,
103,3.19E+00,0.00E+00,,,,,,,,,,,,,
103,3.19E+00,0.00E+00,,,,,,,,,,,,,
104,3.22E+00,0.00E+00,,,,,,,,,,,,,
104,3.22E+00,0.00E+00,,,,,,,,,,,,,
105,3.26E+00,0.00E+00,,,,,,,,,,,,,
105,3.26E+00,0.00E+00,,,,,,,,,,,,,
106,3.29E+00,0.00E+00,,,,,,,,,,,,,
106,3.29E+00,0.00E+00,,,,,,,,,,,,,
107,3.32E+00,0.00E+00,,,,,,,,,,,,,
107,3.32E+00,0.00E+00,,,,,,,,,,,,,
108,3.35E+00,0.00E+00,,,,,,,,,,,,,
108,3.35E+00,0.00E+00,,,,,,,,,,,,,
109,3.38E+00,0.00E+00,,,,,,,,,,,,,
109,3.38E+00,0.00E+00,,,,,,,,,,,,,
110,3.41E+00,0.00E+00,,,,,,,,,,,,,
110,3.41E+00,0.00E+00,,,,,,,,,,,,,
111,3.44E+00,0.00E+00,,,,,,,,,,,,,
111,3.44E+00,0.00E+00,,,,,,,,,,,,,
112,3.47E+00,0.00E+00,,,,,,,,,,,,,
112,3.47E+00,0.00E+00,,,,,,,,,,,,,
113,3.50E+00,0.00E+00,,,,,,,,,,,,,
113,3.50E+00,0.00E+00,,,,,,,,,,,,,
114,3.53E+00,0.00E+00,,,,,,,,,,,,,
114,3.53E+00,0.00E+00,,,,,,,,,,,,,
115,3.57E+00,0.00E+00,,,,,,,,,,,,,
115,3.57E+00,0.00E+00,,,,,,,,,,,,,
116,3.60E+00,0.00E+00,,,,,,,,,,,,,
116,3.60E+00,0.00E+00,,,,,,,,,,,,,
117,3.63E+00,0.00E+00,,,,,,,,,,,,,
117,3.63E+00,0.00E+00,,,,,,,,,,,,,
118,3.66E+00,0.00E+00,,,,,,,,,,,,,
118,3.66E+00,0.00E+00,,,,,,,,,,,,,
119,3.69E+00,0.00E+00,,,,,,,,,,,,,
119,3.69E+00,0.00E+00,,,,,,,,,,,,,
120,3.72E+00,0.00E+00,,,,,,,,,,,,,
120,3.72E+00,0.00E+00,,,,,,,,,,,,,
121,3.75E+00,0.00E+00,,,,,,,,,,,,,
121,3.75E+00,0.00E+00,,,,,,,,,,,,,
122,3.78E+00,0.00E+00,,,,,,,,,,,,,
